question,reference,prediction
Bagaimana cara mengajukan berkas yudisium?,"Pengajuan, pertanyaan maupun kendala terkait kegiatan yudisium dengan durasi layanan 3 hari kerja.",
Berapa lama proses pengajuan berkas yudisium?,Durasi layanan pengurusan berkas yudisium adalah 3 hari kerja.,
Bagaimana cara mengajukan perpanjangan SK Tugas Akhir?,"Mahasiswa mengisi form pengajuan perpanjangan SK Tugas Akhir, memastikan data lengkap, menunggu verifikasi, dan mengikuti prosedur hingga selesai.",
Berapa lama proses perpanjangan SK Tugas Akhir?,Durasi layanan perpanjangan SK Tugas Akhir adalah 4 hari kerja.,
Bagaimana cara memperbarui SK Tugas Akhir?,"Mahasiswa mengisi form pembaruan SK Tugas Akhir, memastikan data lengkap, menunggu verifikasi dan mengikuti prosedur hingga selesai.",
Berapa lama proses pembaruan SK Tugas Akhir?,Durasi layanan pembaruan SK Tugas Akhir adalah 4 hari kerja.,
Bagaimana cara mengajukan Kerja Praktik?,"Mahasiswa mengajukan melalui TOSS sesuai panduan SSC, melakukan screenshot status menunggu verifikasi, mengisi form UPPS Kampus Surabaya dan memantau status hingga approved.",
Berapa lama proses pengajuan Kerja Praktik?,Durasi layanan Kerja Praktik adalah 3 hari kerja.,
Apa itu Kerja Praktik?,Kerja Praktik adalah kegiatan akademik yang memberikan pengalaman kerja langsung di dunia industri sesuai bidang studi mahasiswa.,
Bagaimana cara mengajukan Surat Keterangan Alumni?,Permohonan diajukan melalui email ke baa@telkomuniversity.ac.id dengan melampirkan dokumen yang dipersyaratkan dalam satu file PDF.,
Berapa lama proses Surat Keterangan Alumni?,Durasi layanan Surat Keterangan Alumni adalah 10 hari kerja.,
Bagaimana cara mengajukan perubahan data ijazah?,Mahasiswa mengisi formulir perubahan data melalui laman pdmtus apabila terdapat kesalahan data pada sistem.,
Berapa lama proses perubahan data ijazah?,Durasi layanan perubahan data ijazah adalah 7 hari kerja.,
Bagaimana cara mengajukan surat pengantar mata kuliah?,Mahasiswa mengisi pengajuan melalui TOSS sesuai panduan pada linktree SSC.,
Berapa lama proses surat pengantar mata kuliah?,Durasi layanan surat pengantar mata kuliah adalah 3 hari kerja.,
Bagaimana cara meminjam ruang kelas selama masa perkuliahan?,"Mahasiswa mengisi form peminjaman ruang kelas, memastikan data lengkap dan menunggu proses verifikasi serta persetujuan.",
Berapa lama proses peminjaman ruang kelas?,Durasi layanan peminjaman ruang kelas adalah 3 hari kerja.,
Bagaimana cara melakukan pembayaran sewa toga wisuda?,Mahasiswa melakukan pembayaran melalui transfer sesuai ketentuan dan menyimpan bukti pembayaran untuk pengambilan toga.,
Berapa lama proses pembayaran sewa toga wisuda?,Durasi layanan pembayaran sewa toga wisuda adalah 1 hari kerja.,
Bagaimana cara reset akun iGracias orang tua?,"Mahasiswa memberikan nama, NIM, nomor HP orang tua dan password akun untuk proses verifikasi dan reset.",
Berapa lama proses reset akun iGracias orang tua?,Durasi layanan reset akun iGracias orang tua adalah 3 hari kerja.,
Bagaimana cara mengajukan perubahan data mahasiswa?,Mahasiswa mengisi formulir perubahan data melalui laman pdmtus.,
Berapa lama proses perubahan data mahasiswa?,Durasi layanan perubahan data mahasiswa adalah 5 hari kerja.,
Bagaimana cara mengajukan surat keterangan aktif mahasiswa?,Pengajuan dilakukan secara mandiri melalui TOSS dan surat yang telah disetujui dapat diunduh secara mandiri.,
Apa syarat surat keterangan aktif mahasiswa?,"Mahasiswa harus berstatus aktif, sudah registrasi mata kuliah, tidak cuti, tidak mangkir, tidak mengundurkan diri dan belum yudisium.",
Berapa lama proses surat keterangan aktif mahasiswa?,Durasi layanan surat keterangan aktif mahasiswa adalah 5 hari kerja.,
Bagaimana cara mengajukan legalisir ijazah dan transkrip nilai?,"Mahasiswa mengisi form pengajuan, mengunggah dokumen, melakukan pembayaran sesuai arahan dan menunggu konfirmasi hingga selesai.",
Berapa lama proses legalisir ijazah dan transkrip?,Durasi layanan legalisir ijazah dan transkrip nilai akhir adalah 7 hari kerja.,
Apa itu Tel-U Care?,Tel-U Care adalah aplikasi keringanan biaya mahasiswa untuk mengajukan bantuan atau keringanan pembayaran biaya pendidikan.,
Berapa lama proses layanan Tel-U Care?,Durasi layanan Tel-U Care adalah 5 hari kerja.,
Bagaimana cara mengajukan surat pengantar tugas akhir?,"Mahasiswa mengisi TOSS, mengikuti panduan SSC dan telah lulus mata kuliah Metode Penelitian serta Penulisan Proposal.",
Berapa lama proses surat pengantar tugas akhir?,Durasi layanan surat pengantar tugas akhir adalah 3 hari kerja.,
